year,population,alcohol_adults,bmi_men,bmi_women,car_deaths_per_100000_people,calories_per_day,infant_mortality,life_expectancy,life_expectancy_female,life_expectancy_male
1980,10260000.0,,26.31,26.8,,,17.0,70.6,74.289,67.153
1981,10290000.0,,26.35,26.8,,,16.4,70.71,74.34100000000001,67.181
1982,10300000.0,,26.41,26.8,,,16.0,70.74,74.403,67.21600000000001
1983,10300000.0,,26.45,26.8,,,15.6,70.8,74.483,67.26899999999999
1984,10300000.0,,26.5,26.79,,,15.4,70.92,74.587,67.345
1985,10300000.0,,26.54,26.77,,,15.1,71.13,74.71600000000001,67.446
1986,10300000.0,,26.58,26.76,,,14.7,71.3,74.868,67.567
1987,10300000.0,,26.62,26.74,,,14.3,71.5,75.03699999999999,67.703
1988,10300000.0,,26.67,26.71,,,13.7,71.66,75.218,67.852
1989,10300000.0,,26.72,26.69,,,13.3,71.75,75.411,68.018
1990,10300000.0,,26.77,26.66,,,12.7,71.82,75.619,68.208
1991,10310000.0,,26.81,26.61,,,12.2,72.03,75.845,68.434
1992,10310000.0,,26.85,26.56,,,11.5,72.37,76.092,68.703
1993,10320000.0,,26.9,26.5,,3037.0,10.7,72.7,76.357,69.013
1994,10320000.0,,26.93,26.46,6.144,2978.0,9.7,72.99,76.63600000000001,69.359
1995,10320000.0,,26.98,26.45,7.837000000000001,3209.0,8.8,73.34,76.923,69.73100000000001
1996,10310000.0,,27.04,26.45,7.641,3319.0,7.9,73.76,77.208,70.112
1997,10300000.0,,27.1,26.46,7.511,3236.0,7.2,74.1,77.484,70.48899999999999
1998,10280000.0,,27.16,26.47,6.41,3269.0,6.5,74.44,77.747,70.848
1999,10260000.0,,27.22,26.46,6.222,3118.0,6.0,74.71,77.995,71.185
2000,10240000.0,,27.28,26.45,6.6,3079.0,5.6,74.99,78.23100000000001,71.5
2001,10230000.0,,27.35,26.46,6.099,3170.0,5.3,75.23,78.462,71.8
2002,10210000.0,,27.41,26.47,6.207999999999999,3243.0,5.1,75.38,78.695,72.096
2003,10200000.0,,27.48,26.47,6.38,3319.0,4.8,75.6,78.936,72.396
2004,10200000.0,,27.56,26.48,5.91,3322.0,4.6,75.88,79.186,72.702
2005,10220000.0,16.45,27.63,26.48,6.122999999999999,3318.0,4.4,76.19,79.442,73.013
2006,10260000.0,,27.73,26.51,4.978,3279.0,4.2,76.52,79.703,73.327
2007,10310000.0,,27.81,26.51,6.212000000000001,3261.0,3.9,76.82,79.961,73.639
2008,10380000.0,16.47,27.91,26.51,5.72,3268.0,3.8,77.09,80.212,73.942
2009,10440000.0,,,,,3276.0,3.6,77.24,80.45,74.234
2010,10490000.0,,,,,3276.0,3.4,77.47,80.672,74.51100000000001
2011,10530000.0,,,,,3251.0,3.2,77.75,80.873,74.768
2012,10570000.0,,,,,3243.0,3.2,78.0,81.055,75.006
2013,10590000.0,,,,,3256.0,3.0,78.27,81.219,75.225
